iter,norm
0,1.4142135623730951
1,0.3535533905932738
2,0.08838834764831845
3,0.02209708691207961
4,0.005524271728019903
5,0.0013810679320049757
6,0.00034526698300124393
7,8.631674575031098e-05
8,2.1579186437577746e-05
9,5.3947966093944364e-06
10,1.3486991523486091e-06
11,3.371747880871523e-07
12,8.429369702178807e-08
13,2.1073424255447017e-08
14,5.268356063861754e-09
15,1.3170890159654386e-09
16,3.2927225399135965e-10
17,8.231806349783991e-11
18,2.0579515874459978e-11
19,5.1448789686149945e-12
20,1.2862197421537486e-12
21,3.2155493553843715e-13
22,8.038873388460929e-14
23,2.0097183471152322e-14
24,5.0242958677880805e-15
25,1.2560739669470201e-15
26,3.1401849173675503e-16
27,7.850462293418876e-17
28,1.962615573354719e-17
29,4.9065389333867974e-18
30,1.2266347333466993e-18
31,3.0665868333667484e-19
32,7.666467083416871e-20
33,1.9166167708542177e-20
34,4.791541927135544e-21
35,1.197885481783886e-21
36,2.994713704459715e-22
37,7.486784261149288e-23
38,1.871696065287322e-23
39,4.679240163218305e-24
40,1.1698100408045763e-24
41,2.9245251020114406e-25
42,7.311312755028602e-26
43,1.8278281887571504e-26
44,4.569570471892876e-27
45,1.142392617973219e-27
46,2.8559815449330475e-28
47,7.139953862332619e-29
48,1.7849884655831547e-29
49,4.462471163957887e-30
50,1.1156177909894717e-30
51,2.789044477473679e-31
52,6.972611193684198e-32
53,1.7431527984210495e-32
54,4.357881996052624e-33
55,1.089470499013156e-33
56,2.72367624753289e-34
57,6.809190618832225e-35
58,1.7022976547080561e-35
59,4.2557441367701404e-36
60,1.0639360341925351e-36
61,2.6598400854813377e-37
62,6.649600213703344e-38
63,1.662400053425836e-38
64,4.15600013356459e-39
65,1.0390000333911476e-39
66,2.597500083477869e-40
67,6.493750208694672e-41
68,1.623437552173668e-41
69,4.05859388043417e-42
70,1.0146484701085425e-42
71,2.5366211752713563e-43
72,6.341552938178391e-44
73,1.5853882345445977e-44
74,3.963470586361494e-45
75,9.908676465903736e-46
76,2.477169116475934e-46
77,6.192922791189835e-47
78,1.5482306977974587e-47
79,3.870576744493647e-48
80,9.676441861234117e-49
81,2.4191104653085292e-49
82,6.047776163271323e-50
83,1.5119440408178308e-50
84,3.779860102044577e-51
85,9.449650255111442e-52
86,2.3624125637778606e-52
87,5.906031409444651e-53
88,1.4765078523611628e-53
89,3.691269630902907e-54
90,9.228174077257268e-55
91,2.307043519314317e-55
92,5.767608798285792e-56
93,1.441902199571448e-56
94,3.60475549892862e-57
95,9.01188874732155e-58
96,2.2529721868303876e-58
97,5.632430467075969e-59
98,1.4081076167689923e-59
99,3.5202690419224807e-60
100,8.800672604806202e-61
