iter,norm
0,8620.981892599302
1,8149.600929941265
2,7703.994294932279
3,7282.752690170912
4,6884.543876295522
5,6508.1084585787075
6,6152.255903903782
7,5815.860775526314
8,5497.859173712699
9,5197.245370998677
10,4913.0686314262975
11,4644.430203699781
12,4390.4804787505245
13,4150.416302721877
14,3923.47843687528
15,3708.94915638462
16,3506.149980424498
17,3314.4395263734646
18,3133.211481345904
19,2961.8926846371546
20,2799.941315017345
21,2646.8451771410028
22,2502.120081652914
23,2365.3083138671477
24,2235.9771861761246
25,2113.717669611553
26,1998.1431002293689
27,1888.8879562273569
28,1785.606701928003
29,1687.972694970399
30,1595.6771532550501
31,1508.428178374531
32,1425.949832441209
33,1347.9812653925726
34,1274.2758900140227
35,1204.6006020700354
36,1138.735043077315
37,1076.4709033881888
38,1017.6112633803539
39,961.9699706691761
40,909.3710513730547
41,859.648153569783
42,812.6440211837946
43,768.2099966404002
44,726.2055507140342
45,686.4978380836324
46,648.9612771895281
47,613.4771530630156
48,579.9332418725947
49,548.2234559993673
50,518.2475085191192
51,489.9105960299997
52,463.12309882260735
53,437.8002974443135
54,413.86210476136296
55,391.23281267137713
56,369.84085266520424
57,349.61856948081913
58,330.5020071335015
59,312.43070664547497
60,295.34751483539753
61,279.1984035629015
62,263.932298856539
63,249.50091938474884
64,235.85862375893115
65,222.962266185774
66,210.77106001222796
67,199.24644873165647
68,188.35198404313627
69,178.05321057824537
70,168.3175569308584
71,159.114232645208
72,150.4141308364715
73,142.1897361359143
74,134.41503766944658
75,127.06544679433756
76,120.11771933397073
77,113.54988206469933
78,107.34116322220486
79,101.47192680774108
80,95.92361048631908
81,90.67866688059256
82,85.72050807464396
83,81.03345315222356
84,76.60267860353574
85,72.41417144365727
86,68.45468489439153
87,64.71169648936211
88,61.17336846984134
89,57.82851034607126
90,54.666543505679165
91,51.67746775724315
92,48.851829703177124
93,46.18069284197694
94,43.655609305175425
95,41.26859313972338
96,39.01209505121223
97,36.8789785281034
98,34.862497271445044
99,32.956273858705345
100,31.154279574218737
