iter,norm
0,16.0
1,13.312804709405492
2,11.076923076923064
3,9.216557106511491
4,7.66863905325443
5,6.380693381431038
6,5.3090578060992275
7,4.417403110221483
8,3.675501558068685
9,3.0582021532302504
10,2.544578001739858
11,2.117216875313254
12,1.7616309242814436
13,1.4657655290630167
14,1.2195906398871494
15,1.0147607508897882
16,0.8443319814603375
17,0.7025266736929286
18,0.5845375256263885
19,0.4863646202489504
20,0.4046798254336521
21,0.33671396786465446
22,0.28016295606944996
23,0.2331096700601468
24,0.19395896958654354
25,0.16138361773395044
26,0.13427928663683786
27,0.11172711996965974
28,0.0929625830562761
29,0.07734954459438347
30,0.06435871134665566
31,0.05354968471918853
32,0.04455603093230299
33,0.03707285865174826
34,0.03084648295313351
35,0.02566582522044226
36,0.021355257429090318
37,0.017768648229537328
38,0.014784408989375655
39,0.012301371851219909
40,0.010235360069565257
41,0.008516334358537159
42,0.0070860185097020145
43,0.005895923786674228
44,0.00490570512209385
45,0.004081793390769236
46,0.0033962573922106097
47,0.002825856962836401
48,0.0023512551176870455
49,0.0019563625127287333
50,0.0016277920045470308
51,0.0013544048165067641
52,0.0011269329262236657
53,0.0009376648729581415
54,0.0007801843335384183
55,0.000649152604358771
56,0.0005401276155234025
57,0.0004494133414768527
58,0.0003739345030503547
59,0.00031113231332821254
60,0.0002588777328848259
61,0.0002153992938410638
62,0.00017922304584649154
63,0.00014912258804713785
64,0.0001240774932715877
65,0.00010323871479490109
66,8.589980303356518e-05
67,7.147295639854847e-05
68,5.946909440757159e-05
69,4.9481277507352183e-05
70,4.11709115106327e-05
71,3.425626903867358e-05
72,2.8502938737028374e-05
73,2.3715878567110646e-05
74,1.9732803743579874e-05
75,1.6418685159827926e-05
76,1.366117182254924e-05
77,1.1366782031437414e-05
78,9.457734338717919e-06
79,7.869310638186706e-06
80,6.547662234187778e-06
81,5.4479842897508255e-06
82,4.53299693373965e-06
83,3.77168143313028e-06
84,3.1382286452679694e-06
85,2.611164070026447e-06
86,2.1726198364387115e-06
87,1.8077289760099816e-06
88,1.504121421903579e-06
89,1.2515046686032706e-06
90,1.0413148255749543e-06
91,8.664263056387691e-07
92,7.209102645946993e-07
93,5.998335955537636e-07
94,4.990917193750709e-07
95,4.1526940529376e-07
96,3.455250259824164e-07
97,2.8749419998030223e-07
98,2.3920963076456324e-07
99,1.9903444063492908e-07
100,1.6560666261341763e-07
