iter,norm
0,8.0
1,1.7763568394002505e-15
2,1.110223024625156e-16
3,8.89224275286797e-16
4,4.2253169063797768e-16
5,4.855660838873636e-16
6,9.257902671414493e-16
7,1.3060121890015474e-16
8,1.3330519532108267e-15
9,4.718311871283812e-16
10,4.451923253504454e-16
11,9.42591814036305e-16
12,9.020895248742342e-16
13,1.8992826812229638e-16
14,5.851721564141436e-16
15,1.3740330755746193e-15
16,1.7981525625486634e-15
17,1.3395574982345274e-15
18,3.9530897172914397e-17
19,9.205069294688882e-16
20,8.887449996682893e-16
21,8.971963248854384e-16
22,9.051515020484285e-16
23,9.100362863621973e-16
24,9.127014263100258e-16
25,9.14089126837901e-16
26,9.373348092228713e-16
27,8.890236377539155e-16
28,8.928938739935956e-16
29,8.897122172815599e-16
30,9.221939077900206e-16
31,9.53237259709571e-16
32,9.057312058088938e-16
33,9.103623840276053e-16
34,4.4297905816510746e-17
35,3.5521586029580173e-16
36,5.106748375354471e-16
37,4.773820236927542e-16
38,1.3554951454599062e-15
39,8.983184726355394e-16
40,8.93291802307942e-16
41,1.7967240560332837e-15
42,8.94304133578018e-16
43,1.6030610966609467e-16
44,3.0219765975807814e-16
45,3.7314343480406984e-16
46,4.086163223270658e-16
47,4.888323342653154e-16
48,1.3774321971207508e-15
49,4.632878172358887e-16
50,2.921859463447929e-16
51,4.871765693058774e-16
52,2.2401409512078295e-16
53,5.557029177838588e-16
54,5.959247496818487e-16
55,5.525284777915073e-16
56,3.533977643441112e-16
57,5.968346461186693e-16
58,4.288821293155548e-16
59,1.0289875190452699e-15
60,2.814249361549314e-16
61,2.517347705399804e-16
62,1.799822473458276e-15
63,3.189183505671342e-16
64,7.2319721098903e-16
65,9.113911572497786e-16
66,4.556955786248892e-16
67,8.971868269907702e-16
68,3.428659026557667e-16
69,2.8245525379039853e-16
70,3.398658253647047e-16
71,2.8095521514486795e-16
72,1.5660314171870314e-17
73,1.188524595484508e-16
74,2.814708346992562e-16
75,9.859027988219382e-16
76,1.3344102217144914e-15
77,4.683605177785845e-16
78,4.762614856024483e-16
79,1.3338584956889738e-15
80,7.540918504539562e-17
81,3.770459252269797e-17
82,1.8852296261349176e-17
83,9.426148130674857e-18
84,4.713074065337769e-18
85,1.133788394951847e-16
86,1.6771172221010814e-16
87,1.9487816356756969e-16
88,2.0846138424630044e-16
89,2.1525299458566602e-16
90,2.1864879975534873e-16
91,2.203467023401902e-16
92,2.2119565363261076e-16
93,2.2162012927882096e-16
94,2.2183236710192613e-16
95,2.2193848601347886e-16
96,2.2199154546925502e-16
97,2.2201807519714315e-16
98,2.2203134006108716e-16
99,2.220379724930594e-16
100,2.2204128870904527e-16
